Car_Name,Year,Selling_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,engine,max_power,seats,mileage
Maruti Zen Estilo LXI BSIII,2009,175000,55500,Petrol,Dealer,Manual,First Owner,998,67.1,5,18.2
Hyundai i20 Asta Optional with Sunroof 1.2,2013,525000,61500,Petrol,Dealer,Manual,First Owner,1197,82.85,5,18.5
Maruti Swift Dzire LDI,2016,600000,150000,Diesel,Individual,Manual,First Owner,1248,74,5,26.59
Hyundai Xcent 1.2 Kappa SX Option AT,2016,565000,72000,Petrol,Dealer,Automatic,First Owner,1197,82,5,19.1
Maruti Alto LX BSIII,2008,120000,68000,Petrol,Dealer,Manual,Third Owner,796,46.3,5,19.7
Hyundai i20 1.4 Asta Option,2017,725000,110000,Diesel,Individual,Manual,First Owner,1396,88.73,5,22.54
Maruti Wagon R VXI,2009,185000,77000,Petrol,Dealer,Manual,Second Owner,998,67.05,5,21.79
Tata Manza Aura (ABS) Quadrajet,2010,200000,100000,Diesel,Individual,Manual,Second Owner,1248,90,5,18.8
Maruti Swift VXI,2019,615000,10000,Petrol,Individual,Manual,First Owner,1197,81.8,5,21.21
Maruti Eeco 7 Seater Standard BSIV,2016,270000,100000,Petrol,Individual,Manual,Third Owner,1196,73,7,15.37
Maruti Baleno Zeta 1.2,2018,610000,35000,Petrol,Individual,Manual,First Owner,1197,83.1,5,21.4
Mahindra Scorpio VLX AT AIRBAG BSIV,2014,625000,70000,Diesel,Individual,Automatic,Second Owner,2179,120,8,11.79
Ford Freestyle Titanium Petrol BSIV,2020,400000,5000,Petrol,Individual,Manual,Second Owner,1194,94.68,5,19
Hyundai Verna VTVT 1.6 SX,2017,866000,37800,Petrol,Individual,Manual,First Owner,1591,121.3,5,17
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,300000,48000,Petrol,Individual,Manual,First Owner,1172,65,5,15.8
Tata Indigo CS LS (TDI) BS-III,2016,375000,100000,Diesel,Individual,Manual,First Owner,1405,69.01,5,19.09
Hyundai Verna 1.6 SX,2013,522000,150000,Diesel,Individual,Manual,Second Owner,1582,126.32,5,22.32
Hyundai i20 Magna 1.4 CRDi (Diesel),2013,451999,69000,Diesel,Individual,Manual,First Owner,1396,88.76,5,21.9
Toyota Corolla Altis G,2009,300000,100000,Petrol,Individual,Manual,Second Owner,1798,138.1,5,14.53
Maruti Celerio VXI,2020,475000,13000,Petrol,Individual,Manual,First Owner,998,67.04,5,21.63
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,780000,60000,Diesel,Individual,Manual,First Owner,1248,88.5,5,24.3
Maruti Swift Dzire VXI,2017,595000,40000,Petrol,Individual,Manual,First Owner,1197,83.14,5,20.85
Maruti Wagon R VXI BS IV,2017,440000,35000,Petrol,Individual,Manual,First Owner,998,67.04,5,20.51
Nissan Terrano XL 85 PS,2014,400000,70000,Diesel,Individual,Manual,Third Owner,1461,83.8,5,20.45
Hyundai Creta 1.6 CRDi SX,2016,1140000,50000,Diesel,Individual,Manual,First Owner,1582,126.2,5,19.67
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,850000,76139,Diesel,Individual,Manual,First Owner,1498,98.96,5,23
Maruti Swift Dzire VDi,2012,370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,1248,73.9,5,19.3
Renault KWID 1.0,2018,350000,25000,Petrol,Individual,Manual,First Owner,999,67,5,23.01
Maruti Celerio VXI,2015,360000,40000,Petrol,Individual,Manual,Second Owner,998,67.04,5,23.1
Maruti Alto LXi,2008,105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,796,46.3,5,19.7
Maruti Ertiga VDI,2013,625000,90000,Diesel,Individual,Manual,Second Owner,1248,88.76,7,20.77
Hyundai Santro Xing GLS,2009,135000,80000,Petrol,Individual,Manual,Second Owner,1086,62.1,5,17.92
Maruti Ertiga VDI,2015,700000,110000,Diesel,Individual,Manual,Second Owner,1248,88.76,7,20.77
Honda Amaze S i-VTEC,2019,690000,1303,Petrol,Dealer,Manual,First Owner,1198,86.7,5,17.8
Honda City i-VTEC CVT VX,2017,795000,41000,Petrol,Dealer,Automatic,First Owner,1497,117.6,5,18
Toyota Corolla Altis 1.8 G CVT,2013,625000,39000,Petrol,Dealer,Automatic,First Owner,1798,138.03,5,14.28
Maruti Ciaz ZDi,2015,535000,40000,Diesel,Dealer,Manual,First Owner,1248,88.5,5,26.21
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,811000,11000,Petrol,Dealer,Manual,First Owner,1198,108.5,5,17
Volkswagen Vento Petrol Highline,2011,375000,49000,Petrol,Individual,Manual,First Owner,1598,103.6,5,15.04
Skoda Rapid 1.6 MPI AT Elegance,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,1598,103.5,5,14.3
Maruti Ertiga ZXI,2014,599000,46100,Petrol,Dealer,Manual,First Owner,1373,93.7,7,16.02
Honda City V AT,2017,875000,18000,Petrol,Dealer,Automatic,First Owner,1497,116.3,5,15.6
Toyota Glanza V CVT,2019,894999,9654,Petrol,Dealer,Automatic,First Owner,1197,81.8,5,19.56
Maruti Alto K10 VXI,2011,175000,11000,Petrol,Dealer,Manual,First Owner,998,67.05,5,23.95
Maruti Swift VXI,2012,340000,24300,Petrol,Dealer,Manual,First Owner,1197,81.8,5,21.21
Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,1025000,8000,Diesel,Dealer,Automatic,First Owner,1497,108.5,5,21.5
Maruti Ertiga BSIV ZXI Plus,2016,850000,20000,Petrol,Individual,Manual,First Owner,1373,91.1,7,17.5
Volkswagen Vento Diesel Highline,2011,300000,100000,Diesel,Individual,Manual,Second Owner,1598,103.6,5,20.54
Ford Figo Aspire 1.2 Ti-VCT Trend,2018,575000,9500,Petrol,Individual,Manual,First Owner,1196,86.8,5,18.16
Ford Figo Diesel LXI,2011,160000,120000,Diesel,Individual,Manual,First Owner,1399,68,5,20
Maruti Swift VXI Optional,2015,515000,36600,Petrol,Individual,Manual,First Owner,1197,81.8,5,20.4
Maruti Wagon R AMT VXI,2015,390000,50000,Petrol,Individual,Automatic,Second Owner,998,67,5,20.51
Hyundai i20 Magna 1.2,2016,550000,14000,Petrol,Individual,Manual,Second Owner,1197,81.83,5,18.6
Maruti 800 Std,1999,40000,40000,Petrol,Individual,Manual,Second Owner,796,37,4,16.1
Maruti Ritz VDi,2010,220000,120000,Diesel,Individual,Manual,First Owner,1248,73.9,5,21.1
Hyundai Grand i10 Magna,2015,425000,70000,Petrol,Individual,Manual,First Owner,1197,82,5,18.9
Volkswagen Ameo 1.0 MPI Trendline,2019,480000,13000,Petrol,Individual,Manual,First Owner,999,75,5,19.44
Hyundai Grand i10 Sportz,2014,400000,60000,Petrol,Individual,Manual,Second Owner,1197,82,5,18.9
Maruti Swift Dzire VXI,2014,487000,35000,Petrol,Individual,Manual,First Owner,1197,85.8,5,19.1
Hyundai Xcent 1.2 Kappa S,2016,386000,44000,Petrol,Individual,Manual,Second Owner,1197,82,5,19.1
Honda City 1.5 EXI,2005,100000,120000,Petrol,Individual,Manual,Second Owner,1493,100,5,13
Toyota Corolla Altis Diesel D4DG,2010,300000,60000,Diesel,Individual,Manual,First Owner,1364,87.2,5,21.43
Daewoo Matiz SD,2000,100000,60000,Petrol,Individual,Manual,First Owner,796,53,5,18.5
Mahindra KUV 100 mFALCON G80 K8,2016,450000,15000,Petrol,Individual,Manual,Second Owner,1198,82,6,18.15
Tata Zest Quadrajet 1.3 75PS XM,2017,490000,90000,Diesel,Individual,Manual,First Owner,1248,74,5,22.95
Honda City 1.5 S MT,2009,345000,47000,Petrol,Individual,Manual,Second Owner,1497,118,5,17
Maruti Zen LXI,2005,85000,90000,Petrol,Individual,Manual,First Owner,993,60,5,17.3
Maruti Wagon R VXI BS IV with ABS,2010,215000,120600,Petrol,Individual,Manual,Second Owner,998,67.1,5,18.9
Hyundai Verna Transform SX VTVT,2010,320000,100000,Petrol,Individual,Manual,Third Owner,1599,103.2,5,16.2
Maruti Swift Dzire VXI,2016,459999,60000,Petrol,Individual,Manual,Second Owner,1197,83.14,5,20.85
Hyundai Getz GLS,2005,65000,86000,Petrol,Individual,Manual,First Owner,1341,83,5,15.3
Hyundai Elite i20 Sportz Plus BSIV,2020,720000,5000,Petrol,Individual,Manual,First Owner,1197,81.86,5,18.6
Maruti Ciaz 1.3 Alpha,2017,800000,37000,Diesel,Individual,Manual,First Owner,1248,88.5,5,28.09
Tata Tigor 1.2 Revotron XZ,2019,520000,14000,Petrol,Individual,Manual,First Owner,1199,84,5,20.3
Maruti Ertiga VDI,2015,580000,70000,Diesel,Individual,Manual,First Owner,1248,88.76,7,20.77
Honda City i VTEC S,2015,600000,50000,Petrol,Individual,Manual,First Owner,1497,117.3,5,17.4
Honda Brio S MT,2014,290000,60000,Petrol,Individual,Manual,Second Owner,1198,86.8,5,19.4
Maruti Swift Dzire VXI,2017,550000,50000,Petrol,Individual,Manual,First Owner,1197,83.14,5,20.85
Hyundai i20 Sportz 1.2,2013,375000,70000,Petrol,Individual,Manual,First Owner,1197,82.85,5,18.5
Maruti Wagon R AMT VXI,2018,420000,35000,Petrol,Individual,Automatic,First Owner,998,67,5,20.51
Maruti Swift Dzire VXI 1.2,2017,550000,20000,Petrol,Individual,Manual,First Owner,1197,81.8,5,21.21
Maruti Alto 800 LXI,2018,270000,20000,Petrol,Individual,Manual,First Owner,796,47.3,5,24.7
Maruti Swift Dzire AMT VXI BS IV,2018,700000,7800,Petrol,Individual,Automatic,First Owner,1197,81.8,5,22
Maruti Swift VXI Optional,2017,500000,20000,Petrol,Individual,Manual,First Owner,1197,81.8,5,20.4
Hyundai i20 Magna,2013,320000,31377,Petrol,Individual,Manual,Second Owner,1197,82.85,5,18.5
Maruti Swift Dzire VDI,2018,700000,50000,Diesel,Individual,Manual,First Owner,1248,74.02,5,28.4
Maruti Wagon R VXI BS IV,2015,290000,60000,Petrol,Individual,Manual,First Owner,998,67.04,5,20.51
Toyota Corolla Altis 1.8 VL AT,2012,550000,100000,Petrol,Individual,Automatic,First Owner,1794,138.1,5,14.53
Honda Brio S MT,2012,265000,60000,Petrol,Individual,Manual,First Owner,1198,86.8,5,19.4
Maruti Baleno Alpha Automatic,2018,830000,5000,Petrol,Individual,Automatic,First Owner,1197,83.1,5,21.4
Maruti Alto LXi,2011,160000,25000,Petrol,Individual,Manual,Second Owner,796,46.3,5,19.7
Renault KWID RXT,2018,335000,30000,Petrol,Individual,Manual,First Owner,799,53.3,5,25.17
Datsun GO T BSIV,2017,329000,80000,Petrol,Individual,Manual,Second Owner,1198,67,5,20.63
Maruti Vitara Brezza VDi Option,2017,775000,75000,Diesel,Individual,Manual,First Owner,1248,88.5,5,24.3
Hyundai Xcent 1.2 VTVT SX,2020,524000,32000,Petrol,Individual,Manual,First Owner,1197,81.86,5,20.14
Maruti Alto 800 LXI,2015,245000,40000,Petrol,Individual,Manual,First Owner,796,47.3,5,22.74
Hyundai i20 1.2 Sportz,2012,275000,93000,Petrol,Individual,Manual,Second Owner,1197,80,5,17
Tata Zest Revotron 1.2 XT,2018,520000,60000,Petrol,Individual,Manual,First Owner,1193,88.7,5,17.57
Nissan Sunny XL,2014,550000,37000,Petrol,Individual,Manual,First Owner,1498,97.7,5,16.95
Ford EcoSport 1.5 Petrol Titanium Plus BSIV,2018,910000,15000,Petrol,Individual,Manual,First Owner,1497,121.36,5,17
Nissan Micra Active XV S,2015,300000,80000,Petrol,Individual,Manual,First Owner,1198,67.04,5,19.49
Maruti Wagon R LXI Optional,2016,350000,140000,Petrol,Individual,Manual,First Owner,998,67.04,5,20.51
Mahindra Quanto C8,2013,300000,120000,Diesel,Individual,Manual,Second Owner,1493,100,7,17.21
Maruti Ritz LDi,2010,250000,110000,Diesel,Individual,Manual,Second Owner,1248,73.9,5,21.1
Hyundai Creta 1.6 CRDi SX Plus Dual Tone,2017,1100000,37000,Diesel,Individual,Manual,First Owner,1582,126.2,5,19.67
Renault KWID RXT,2016,270000,44000,Petrol,Individual,Manual,First Owner,799,53.3,5,25.17
Maruti Ertiga VDI,2015,640000,80000,Diesel,Individual,Manual,First Owner,1248,88.76,7,20.77
Mahindra XUV500 W4,2015,650000,125000,Diesel,Individual,Manual,First Owner,2179,140,7,15.1
Maruti Eeco 5 Seater AC BSIV,2017,409999,13500,Petrol,Individual,Manual,First Owner,1196,73,5,15.37
Hyundai Santro Xing GLS,2011,165000,75000,Petrol,Individual,Manual,First Owner,1086,62.1,5,17.92
Hyundai Accent GLE,2007,80000,120000,Petrol,Individual,Manual,Second Owner,1495,94,5,13.2
Mahindra XUV500 W8 2WD,2012,535000,120000,Diesel,Individual,Manual,First Owner,2179,140,7,15.1
Toyota Innova 2.5 EV (Diesel) PS 7 Seater BS IV,2013,700000,70000,Diesel,Individual,Manual,First Owner,2494,100.57,7,12.99
Maruti Swift Dzire VDI,2013,550000,70000,Diesel,Individual,Manual,First Owner,1248,74,5,23.4
Honda Amaze S CVT Petrol BSIV,2019,680000,15000,Petrol,Individual,Automatic,First Owner,1199,88.76,5,19
Hyundai i10 Sportz 1.2,2009,200000,53000,Petrol,Individual,Manual,Second Owner,1197,78.9,5,20.36
Maruti Swift Dzire VDI,2014,500000,120000,Diesel,Individual,Manual,Second Owner,1248,74,5,23.4
Maruti Ertiga SHVS ZDI Plus,2016,1000000,70000,Diesel,Individual,Manual,First Owner,1248,88.5,7,24.52
Hyundai Getz 1.3 GVS,2008,110000,120000,Petrol,Individual,Manual,Second Owner,1341,82.9,5,14.2
Hyundai i20 1.2 Magna,2012,320000,100000,Petrol,Individual,Manual,Second Owner,1197,80,5,18.5
Maruti Swift LXI Optional-O,2015,350000,100000,Petrol,Individual,Manual,First Owner,1197,83.11,5,20.4
Tata Indica Vista TDI LS,2013,170000,162500,Diesel,Individual,Manual,First Owner,1405,70,5,19.4
Hyundai i20 2015-2017 Asta 1.4 CRDi,2017,800000,39000,Diesel,Individual,Manual,First Owner,1396,88.73,5,22.54
Maruti Ignis 1.3 Alpha,2017,500000,75000,Diesel,Individual,Manual,First Owner,1248,74,5,26.8
Hyundai Verna 1.6 CRDI,2013,530000,92500,Diesel,Individual,Manual,First Owner,1582,126.3,5,22.32
Maruti Swift Dzire VDI,2012,360000,158000,Diesel,Individual,Manual,First Owner,1248,74,5,23.4
Maruti Swift Dzire LDi,2012,310000,120000,Diesel,Individual,Manual,First Owner,1248,73.9,5,19.3
Honda City i DTEC V,2015,725000,50000,Diesel,Individual,Manual,Second Owner,1498,98.6,5,26
Maruti Swift Dzire ZDi,2012,340000,110000,Diesel,Individual,Manual,First Owner,1248,73.9,5,19.3
Hyundai Xcent 1.2 CRDi E,2017,550000,2000,Diesel,Individual,Manual,Second Owner,1186,73.97,5,25.4
Tata Tiago 1.05 Revotorq XZ,2016,380000,70000,Diesel,Individual,Manual,First Owner,1047,69,5,27.28
Nissan Sunny XL AT Special Edition,2013,350000,90000,Petrol,Individual,Automatic,Second Owner,1498,99.6,5,17.97
Hyundai Elite i20 Magna Plus BSIV,2019,610000,2000,Petrol,Individual,Manual,First Owner,1197,81.86,5,18.6
Maruti Swift Dzire VXI,2015,525000,20000,Petrol,Individual,Manual,First Owner,1197,83.14,5,20.85
Toyota Innova 2.5 GX 7 STR,2011,480000,120000,Diesel,Individual,Manual,First Owner,2494,102,7,12.8
Mahindra Thar CRDe,2017,780000,35000,Diesel,Individual,Manual,First Owner,2498,105,6,16.55
Maruti Swift 1.2 DLX (Only Delhi),2014,375000,80000,Petrol,Individual,Manual,First Owner,1197,81.8,5,20.4
Datsun GO D Petrol,2019,300000,40000,Petrol,Individual,Manual,First Owner,1198,67.05,5,19.02
Hyundai i20 Asta 1.4 CRDi,2015,500000,70000,Diesel,Individual,Manual,Fourth & Above Owner,1396,88.73,5,22.54
Mahindra Scorpio LX,2011,404000,122358,Diesel,Individual,Manual,First Owner,2179,120,9,12.05
Tata Sumo Gold EX BSIII,2015,500000,75000,Diesel,Individual,Manual,First Owner,2956,69.01,7,14.07
Tata Tiago Wizz 1.05 Revotorq,2017,350000,120000,Diesel,Individual,Manual,First Owner,1047,69,5,27.28
Tata Zest Revotron 1.2 XT,2015,380000,40000,Petrol,Individual,Manual,First Owner,1193,88.7,5,17.57
Hyundai Accent GLE,2008,114999,95200,Petrol,Individual,Manual,Third Owner,1495,94,5,13.2
Honda Brio Exclusive Edition,2014,335000,33033,Petrol,Dealer,Manual,First Owner,1198,86.8,5,19.4
Hyundai Grand i10 AT Asta,2015,465000,63063,Petrol,Dealer,Automatic,First Owner,1197,82,5,18.9
Tata Manza Club Class Quadrajet90 LX,2012,290000,60000,Diesel,Individual,Manual,First Owner,1248,88.76,5,21.02
Maruti Alto LX,2005,110000,45000,Petrol,Individual,Manual,Second Owner,796,46.3,5,19.7
Tata New Safari DICOR 2.2 EX 4x2,2011,450000,80000,Diesel,Individual,Manual,Third Owner,2179,138.1,7,11.57
Mahindra Bolero SLE,2009,400000,170000,Diesel,Individual,Manual,Second Owner,2523,63,7,13.6
Maruti Omni E MPI STD BS IV,2016,220000,35000,Petrol,Individual,Manual,First Owner,796,34.2,8,16.8
Hyundai Grand i10 Sportz,2017,450000,35000,Petrol,Individual,Manual,First Owner,1197,82,5,18.9
Hyundai i10 Sportz AT,2013,290000,50000,Petrol,Individual,Automatic,First Owner,1197,78.9,5,16.95
Maruti Swift VXI Deca,2016,520000,20000,Petrol,Individual,Manual,First Owner,1197,81.8,5,20.4
Hyundai i10 Sportz AT,2011,265000,20000,Petrol,Individual,Automatic,First Owner,1197,78.9,5,16.95
Maruti Swift VXI,2012,330000,50000,Petrol,Individual,Manual,Second Owner,1197,85.8,5,18.6
Mahindra Bolero 2011-2019 ZLX,2014,509999,120000,Diesel,Individual,Manual,First Owner,2523,62.1,7,15.96
Hyundai Verna 1.6 SX VTVT (O),2014,500000,70000,Petrol,Individual,Manual,First Owner,1591,121.3,5,17.1
Hyundai i20 Active 1.2,2015,525000,50000,Petrol,Individual,Manual,First Owner,1197,81.86,5,17.19
Maruti Baleno Zeta,2019,675000,16500,Petrol,Individual,Manual,First Owner,1197,81.8,5,21.01
Hyundai i20 1.2 Asta,2010,300000,70000,Petrol,Individual,Manual,First Owner,1197,80,5,17
Maruti Alto LXI,2005,90000,99361,Petrol,Individual,Manual,Second Owner,796,46.3,5,19.7
Maruti Swift Dzire VDI,2017,650000,25000,Diesel,Individual,Manual,First Owner,1248,74,5,26.59
Maruti Swift Dzire VXI,2014,409000,70000,Petrol,Individual,Manual,Second Owner,1197,85.8,5,19.1
Hyundai Grand i10 CRDi Sportz,2015,395000,80000,Diesel,Individual,Manual,Second Owner,1120,70,5,24
Maruti Swift Dzire VXI,2014,400000,70000,Petrol,Individual,Manual,Second Owner,1197,85.8,5,19.1
Chevrolet Beat LS,2012,120000,60000,Petrol,Individual,Manual,Third Owner,1199,79.4,5,18.6
